surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CH4	0.0	[51.8, 65.8, 75.6, 1329.3, 1329.6, 1331.7, 1547.3, 1548.3, 2992.3, 3118.4, 3118.9, 3119.4]	This work
None	gas	CH3OH	1.27	[46.3, 223.1, 273.0, 366.1, 1028.5, 1060.2, 1152.4, 1360.9, 1463.7, 1482.5, 1497.0, 2969.0, 3014.9, 3092.2, 3762.3]	This work
None	gas	CH2O	2.53	[23.8, 47.1, 1137.6, 1242.0, 1480.1, 1771.7, 2904.5, 2914.0]	This work
None	gas	CO	2.8	[6.2, 14.3, 2157.1]	This work
None	gas	CO2	2.42	[125.2, 138.1, 650.1, 650.4, 1336.5, 2363.7]	This work
None	gas	H2	0.0	[0.3, 0.8, 4450.3]	This work
None	gas	O2	5.48	[147.4, 156.0, 1543.5]	This work
None	gas	H2O	0.0	[211.4, 250.4, 1634.7, 3753.1, 3849.2]	This work
Ag	111	O	2.16	[413.6, 381.7, 381.6]	This work
Ag	111	OH	0.58	[3718.0, 511.2, 509.3, 339.2, 248.3, 235.5]	This work
Ag	111	C	6.06	[455.9, 468.2, 469.2]	This work
Ag	111	CO	2.73	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Ag	111	H	0.49	[978.2, 768.0, 764.8]	This work
Ag	111	CH3	1.59	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work
Ag	111	CH2	3.26	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work
Ag	111	CH	4.47	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work
Ag	111	CH3O	1.79	[3033.3, 3028.4, 2960.6, 1472.9, 1470.1, 1446.5, 1147.3, 1146.3, 988.2, 263.0, 259.2, 255.5, 92.0, 86.1, 84.8]	This work
Ag	111	CH2O	2.22	[3047.8, 2962.5, 1443.2, 1151.8, 1108.2, 914.7, 639.8, 468.2, 329.2, 255.8, 162.9, 144.6]	This work
Ag	111	CHO	3.27	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Ag	111	CH2OH	2.61	[3704.7, 3120.3, 3021.3, 1448.6, 1345.2, 1139.1, 1081.5, 986.6, 681.0, 455.9, 425.0, 179.9, 37.5]	This work
Ag	111	CHOH	3.94	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
Ag	111	COH	4.88	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work
Au	111	O	2.57	[413.6, 381.7, 381.6]	This work
Au	111	OH	1.2	[3718.0, 511.2, 509.3, 339.2, 248.3, 235.5]	This work
Au	111	C	5.05	[455.9, 468.2, 469.2]	This work
Au	111	CO	2.81	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Au	111	H	0.52	[978.2, 768.0, 764.8]	This work
Au	111	CH3	1.27	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work
Au	111	CH2	2.73	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work
Au	111	CH	3.59	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work
Au	111	CH3O	2.3	[3033.3, 3028.4, 2960.6, 1472.9, 1470.1, 1446.5, 1147.3, 1146.3, 988.2, 263.0, 259.2, 255.5, 92.0, 86.1, 84.8]	This work
Au	111	CH2O	2.23	[3047.8, 2962.5, 1443.2, 1151.8, 1108.2, 914.7, 639.8, 468.2, 329.2, 255.8, 162.9, 144.6]	This work
